raw_id	ENSG_ID	Symbol	log2FoldChange	logCPM	pvalue	padj	baseMean
ENSG00000002079.14|6307|MYH16|transcribed_unitary_pseudogene	ENSG00000002079	MYH16	-1.28836042691934	3.74485854769965	0.00116700885800074	0.0434283444835841	13.4064796216094
ENSG00000078319.10|5854|PMS2P1|transcribed_unprocessed_pseudogene	ENSG00000078319	PMS2P1	0.173229002534396	4.09279253436139	0.700591563871199	0.9284678779409	17.0629185971303
ENSG00000080947.15|6905|CROCCP3|transcribed_unprocessed_pseudogene	ENSG00000080947	CROCCP3	-1.25558875203748	4.91973831265713	0.00291232918315007	0.065570417739776	30.2683538858013
ENSG00000088340.17|10228|FER1L4|transcribed_unitary_pseudogene	ENSG00000088340	FER1L4	-1.40084273657319	4.84302503862926	4.08888516855552e-4	0.0273519987720142	28.7009192223818
ENSG00000093100.13|4328|XXbac-B461K10.4|lncRNA	ENSG00000093100	XXbac-B461K10.4	-0.726895081196933	3.48685154376608	0.0911415994669232	0.392116640233622	11.2110658919615
ENSG00000099725.14|7674|PRKY|transcribed_unitary_pseudogene	ENSG00000099725	PRKY	0.184244181773885	3.81268097392665	0.907824312027815	1	14.0517798497182
ENSG00000100068.14|4687|LRP5L|transcribed_unprocessed_pseudogene	ENSG00000100068	LRP5L	-0.719372225601228	3.87523132951147	0.0622365605306439	0.322503178463037	14.6744174779609
ENSG00000103472.10|2271|RRN3P2|lncRNA	ENSG00000103472	RRN3P2	0.307791224178103	3.8273834615247	0.514975588995819	0.83702564090941	14.1957135346142
ENSG00000106133.18|2576|NSUN5P2|transcribed_unprocessed_pseudogene	ENSG00000106133	NSUN5P2	0.032291862057252	3.82084592327133	1	1	14.1315315259249
ENSG00000108448.22|4329|TRIM16L|transcribed_unprocessed_pseudogene	ENSG00000108448	TRIM16L	0.0950245423529001	3.44145355072073	0.780730671484652	0.960514461169601	10.8637746275033
ENSG00000111788.10|3158|RP11-22B23.1|unprocessed_pseudogene	ENSG00000111788	RP11-22B23.1	-1.11866269860346	5.13593972542942	0.019063954970741	0.169647020637454	35.1618658989498
ENSG00000117242.7|4443|PINK1-AS|lncRNA	ENSG00000117242	PINK1-AS	-0.289665081888829	3.89949777663395	0.490582413498877	0.822530868263199	14.9233319288811
ENSG00000124224.17|9263|PPP4R1L|transcribed_unprocessed_pseudogene	ENSG00000124224	PPP4R1L	0.456876497694542	4.63893211013034	0.180177665288809	0.546528563004485	24.9148176530762
ENSG00000124549.14|4177|BTN2A3P|transcribed_unprocessed_pseudogene	ENSG00000124549	BTN2A3P	-1.46778948764091	5.18843104151811	0.00979312122270294	0.118599989067527	36.4647612105237
ENSG00000125122.16|2807|LRRC29|transcribed_unitary_pseudogene	ENSG00000125122	LRRC29	0.088265292245255	3.83018393282419	0.825332555054449	0.976802613068714	14.223296146922
